Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9817460317460317,0.9791604141568794,0.9722744607271591
mvtec_cable,0.573931784107946,0.8500821754302624,0.833534428910139
mvtec_capsule,0.6753091344236138,0.9598421309889511,0.9561471743465784
mvtec_carpet,0.33707865168539325,0.7197983989136585,0.7337352407891778
mvtec_grid,0.5129490392648288,0.6724703391229001,0.669135482162986
mvtec_hazelnut,0.6680357142857143,0.9770735754586372,0.9702681236895758
mvtec_leather,0.5562160326086956,0.926001715905603,0.9201785195815528
mvtec_metal_nut,0.9100684261974584,0.9493356810445526,0.9383078484664613
mvtec_pill,0.5628750681942171,0.9616446838893206,0.9579105863874817
mvtec_screw,0.34433285509325684,0.8556876173313109,0.8584713815151623
mvtec_tile,0.6987734487734488,0.8972748921882552,0.8823761832295662
mvtec_toothbrush,0.7527777777777777,0.981373885024634,0.9749986539993902
mvtec_transistor,0.7406249999999999,0.9085839292525943,0.8550451740638938
mvtec_wood,0.6289473684210526,0.7503615212766035,0.7498536486480257
mvtec_zipper,0.7531512605042018,0.9191177841172333,0.9044087846946639
Mean,0.6464545062055758,0.8871872496067598,0.8784430460807876
