Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.982343146842197,0.9761477407325306
mvtec_cable,0.9636431784107946,0.9396018210810232,0.9133573306659544
mvtec_capsule,0.953330674112485,0.9824683296405132,0.9790979575600471
mvtec_carpet,0.9995987158908507,0.9828814662247174,0.9773781627331215
mvtec_grid,0.9983291562238931,0.9896539706233886,0.9855501519177701
mvtec_hazelnut,0.9942857142857143,0.9940882423583911,0.9906466535424995
mvtec_leather,1.0,0.973692867704551,0.9644486874482946
mvtec_metal_nut,1.0,0.9754297287369773,0.9686725153542483
mvtec_pill,0.9789961811238408,0.963942096297574,0.9590435602456486
mvtec_screw,0.9362574298011888,0.987461722135439,0.9857652724778923
mvtec_tile,1.0,0.8716438607667414,0.8148871421556199
mvtec_toothbrush,0.9972222222222222,0.992961331212023,0.9900997563949272
mvtec_transistor,0.99,0.9363180817390588,0.8755762949431403
mvtec_wood,0.9982456140350878,0.9260913316988436,0.9072270596591642
mvtec_zipper,0.998686974789916,0.9504893016371496,0.9380041441804698
Mean,0.9872397240597327,0.9632711532465726,0.9483934953340885
