Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9491326530612245,0.9859104032732461,0.9777128099005374
visa_capsules,0.9668289369410166,0.9922049706406787,0.9855329718939465
visa_cashew,0.9668041237113402,0.9963028547471907,0.9933368566327525
visa_chewinggum,0.9791979197919792,0.9873956837804393,0.9804678915394834
visa_fryum,0.9565979381443298,0.9188470998073628,0.8873743416528753
visa_macaroni1,0.94734375,0.993969300912129,0.9899008748551139
visa_macaroni2,0.7959649122807017,0.9519756994771362,0.95281690020824
visa_pcb1,0.9712263425142329,0.9953851731270981,0.9909547932340224
visa_pcb2,0.9399704772839101,0.9735170986454676,0.9624759737920142
visa_pcb3,0.9786998436685773,0.980921664448566,0.9695326543050694
visa_pcb4,0.9365671641791046,0.914090975962754,0.8671345921103847
visa_pipe_fryum,0.9838,0.9930553954695372,0.9864165242896027
Mean,0.9476778384647014,0.9736313600243006,0.9619714320345034
