Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9279591836734694,0.9846469602786947,0.9772545213123726
visa_capsules,0.9230159628665232,0.966338584219737,0.9586329492277207
visa_cashew,0.8983505154639175,0.986929264058321,0.9809870349412403
visa_chewinggum,0.9798979897989799,0.9892521460902961,0.9845157379453038
visa_fryum,0.9389690721649484,0.9105543576572944,0.8807095812356535
visa_macaroni1,0.9781770833333332,0.995747748418988,0.9929347601927848
visa_macaroni2,0.7094736842105263,0.9094361826258313,0.9199246377124439
visa_pcb1,0.9578396676411756,0.9894644132044632,0.9834162007059812
visa_pcb2,0.9380569679077142,0.9457834544148639,0.9374561777384004
visa_pcb3,0.9762245961438248,0.9803334825541709,0.9713728394983281
visa_pcb4,0.9506467661691542,0.9268401782691038,0.8881203251459298
visa_pipe_fryum,0.9791,0.9870798176319274,0.9775324818282355
Mean,0.9298092907811305,0.9643672157853076,0.9544047706236997
