Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9409183673469388,0.9871083615723482,0.9794585898772753
visa_capsules,0.96807426695347,0.9930435543280823,0.9867528257647944
visa_cashew,0.9642268041237114,0.9962715264870845,0.9931216051920676
visa_chewinggum,0.9806980698069807,0.9875319856606621,0.9811313208603537
visa_fryum,0.9595876288659794,0.9300791033192595,0.9033616485784102
visa_macaroni1,0.9491666666666667,0.993998912454194,0.9902641076522514
visa_macaroni2,0.815,0.9756007936578646,0.9755143360030896
visa_pcb1,0.9677899163973943,0.9956780172277376,0.9916730852587586
visa_pcb2,0.9341752774588596,0.9692627251757578,0.9593654706593232
visa_pcb3,0.9804585721730068,0.9820478748907141,0.9717318927509208
visa_pcb4,0.941044776119403,0.9173420954153726,0.8738070450002517
visa_pipe_fryum,0.991,0.9922458698682664,0.9848285422826938
Mean,0.9493450288260341,0.9766842350047787,0.9659175391566825
