Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.8388265306122449,0.9682506676648964,0.9630133464868363
visa_capsules,0.8750141514774143,0.9660053651787497,0.9599106011980058
visa_cashew,0.8921649484536083,0.9717513679976824,0.9648644726704195
visa_chewinggum,0.98009800980098,0.9861149774103211,0.9818880478057245
visa_fryum,0.9295876288659793,0.8867639345251715,0.8670206045871462
visa_macaroni1,0.9259895833333333,0.9844082529087205,0.9815213358653809
visa_macaroni2,0.688859649122807,0.883507736786867,0.8901823760662823
visa_pcb1,0.9385546494332462,0.9795599588991183,0.9722845278617166
visa_pcb2,0.8836039582308239,0.9211843851804209,0.9131564963498446
visa_pcb3,0.9565528921313183,0.9660743574189203,0.9550142384836849
visa_pcb4,0.9474129353233831,0.8857475728873827,0.8463372601688643
visa_pipe_fryum,0.9671000000000001,0.9803697636873321,0.972633877821606
Mean,0.9019804113987616,0.9483115283787984,0.9389855987804593
