Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9810204081632652,0.9912217667048774,0.9845981455813801
visa_capsules,0.7850887042443296,0.9952611955753237,0.9934753008701406
visa_cashew,0.9472164948453609,0.9784663178574822,0.9735223004498035
visa_chewinggum,0.9887106357694594,0.9848003612283199,0.9787651779243393
visa_fryum,0.9676288659793816,0.9217970188807282,0.9047878892683843
visa_macaroni1,0.9579166666666666,0.9935009927561,0.9902341604891914
visa_macaroni2,0.8043859649122806,0.9806861925053134,0.9750625275333763
visa_pcb1,0.9917321629070124,0.9956878310347027,0.9924523516165519
visa_pcb2,0.9767163529539767,0.9856792699698042,0.971579080532732
visa_pcb3,0.9843668577384055,0.9907139402781818,0.9810258643082604
visa_pcb4,0.9947524752475247,0.9742740400455348,0.9547253387349429
visa_pipe_fryum,0.997,0.9891423626558187,0.9842914655064913
Mean,0.9480446324523054,0.9817692741243489,0.9737099669012995
