Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9194387755102041,0.9849810124542462,0.9773204926334033
visa_capsules,0.9033171063058983,0.9572998656827673,0.9488756295802053
visa_cashew,0.8723711340206185,0.9844288286953043,0.9779428263015315
visa_chewinggum,0.9762976297629763,0.9891464126973967,0.9842084797017207
visa_fryum,0.9407216494845361,0.902798321163524,0.8707156095823257
visa_macaroni1,0.9738541666666666,0.9950465908339036,0.9920538145603233
visa_macaroni2,0.6807017543859648,0.8935044023893972,0.9074008932280664
visa_pcb1,0.952710673436939,0.9878587379045466,0.9817336999922542
visa_pcb2,0.9327538133508283,0.9466193751891768,0.9381103060184459
visa_pcb3,0.9709484106305367,0.9779914529690853,0.9688791012728307
visa_pcb4,0.9468159203980099,0.9211530172506643,0.879962509692928
visa_pipe_fryum,0.9852000000000001,0.9866021449367238,0.9765557518352145
Mean,0.9212609194960982,0.9606191801805614,0.9503132595332708
