Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9478571428571428,0.9860049530054871,0.9776057281637065
visa_capsules,0.9604890750594361,0.9914029054943004,0.9836320234670703
visa_cashew,0.9673195876288659,0.9962061495592163,0.9930900860527225
visa_chewinggum,0.9777977797779779,0.9877443726215043,0.9810797073486501
visa_fryum,0.9642268041237114,0.9309622593575523,0.9005726002367114
visa_macaroni1,0.9505729166666668,0.9941151737386454,0.9902691904770285
visa_macaroni2,0.8082456140350877,0.9591659897937497,0.9612709335673227
visa_pcb1,0.9685079755859876,0.9955086749082175,0.9909629916559365
visa_pcb2,0.9354327264775025,0.9617627196112818,0.9507774826990297
visa_pcb3,0.9790255341323606,0.9737742570792761,0.9617517731888243
visa_pcb4,0.9419402985074627,0.9182073764373339,0.8734451221831516
visa_pipe_fryum,0.985,0.9922791662117487,0.984881113554584
Mean,0.9488679545710169,0.9739278331515261,0.9624448960495616
