Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.9813999999999999,0.9911933527974461,0.9846258865605217
visa_capsules,0.7901639344262296,0.9898870573440145,0.9879103043510531
visa_cashew,0.9488000000000001,0.981224674828116,0.9763438354625508
visa_chewinggum,0.9888235294117648,0.9835977964028674,0.9769923378464347
visa_fryum,0.9686,0.9239762134728812,0.9066459891362798
visa_macaroni1,0.9573999999999999,0.9937029375367461,0.9906124494698478
visa_macaroni2,0.7606999999999999,0.9794724385091418,0.9758827036164183
visa_pcb1,0.991980198019802,0.9962836980050621,0.9935234437908936
visa_pcb2,0.9784158415841584,0.9858730697800793,0.9729297035270229
visa_pcb3,0.9879207920792079,0.9900081092685709,0.9812740730584701
visa_pcb4,0.9947524752475247,0.9742740400455348,0.9547253387349429
visa_pipe_fryum,0.997,0.9891423626558187,0.9842914655064913
Mean,0.9454963975640575,0.9815529792205232,0.9738131275884104
