Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9848827987394371,0.9796195630722931
mvtec_cable,0.9968140929535232,0.9841602527058153,0.9753135584105371
mvtec_capsule,0.9796569605105705,0.9895244001004306,0.9873985859772186
mvtec_carpet,0.9835473515248796,0.9906920486562515,0.9880736620553051
mvtec_grid,0.9791144527986633,0.9879429792303493,0.9835990481969981
mvtec_hazelnut,1.0,0.9866731086531976,0.9790026014669024
mvtec_leather,1.0,0.9927880891942237,0.990256717664189
mvtec_metal_nut,0.9990224828934506,0.9834036573314254,0.9792234815566588
mvtec_pill,0.9634478996181123,0.9777186491975718,0.9757491631276367
mvtec_screw,0.9868825579012093,0.9952591410975725,0.9938412636590397
mvtec_tile,0.9891774891774893,0.9573610831569653,0.9409624506056663
mvtec_toothbrush,1.0,0.9857119266448106,0.9799481079744385
mvtec_transistor,1.0,0.9633159171454364,0.9297153945470944
mvtec_wood,0.9929824561403509,0.9501751569359485,0.9367772614898154
mvtec_zipper,0.9939600840336135,0.9887078788848835,0.9856795608857153
Mean,0.9909737218367909,0.9812211391782879,0.9736773613793006
