Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
visa_candle,0.7758928571428572,0.893801928965244,0.8659927127302266
visa_capsules,0.5883618249745274,0.6225167104679542,0.6137858932855248
visa_cashew,0.7694329896907217,0.7190066035298737,0.6918737316223952
visa_chewinggum,0.6543654365436544,0.82841503982655,0.8025065684924553
visa_fryum,0.6224742268041236,0.7117516655568591,0.6713365013182845
visa_macaroni1,0.5277083333333332,0.7435776121386732,0.7321834750234834
visa_macaroni2,0.4367105263157895,0.6564157602162284,0.642368297102848
visa_pcb1,0.519361953120993,0.8690558241384286,0.8485608147724449
visa_pcb2,0.6918703187359905,0.7881947956630385,0.7449757757084996
visa_pcb3,0.6577970297029704,0.8607253535613978,0.830700431256754
visa_pcb4,0.6380348258706469,0.7811322275684829,0.7081342955450555
visa_pipe_fryum,0.63145,0.9618049731406585,0.9497684597177414
Mean,0.626121693519634,0.7863665412311157,0.7585155797146429
